reference_fiche,ndeg_de_version,nature_juridique_du_rappel,categorie_de_produit,sous_categorie_de_produit,nom_de_la_marque_du_produit,noms_des_modeles_ou_references,identification_des_produits,conditionnements,date_debut_fin_de_commercialisation,temperature_de_conservation,marque_de_salubrite,informations_complementaires,zone_geographique_de_vente,distributeurs,motif_du_rappel,risques_encourus_par_le_consommateur,preconisations_sanitaires,description_complementaire_du_risque,conduites_a_tenir_par_le_consommateur,numero_de_contact,modalites_de_compensation,date_de_fin_de_la_procedure_de_rappel,informations_complementaires_publiques,liens_vers_les_images,lien_vers_la_liste_des_produits,lien_vers_la_liste_des_distributeurs,lien_vers_affichette_pdf,lien_vers_la_fiche_rappel,rappelguid,group_key
2023-03-0141,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,La Croix Blanche Dijon France,La Croix Blanche Dijon France,02122,,Du 01/01/2022 au 15/03/2023,Produit à conserver à température ambiante,,boite de 100 gélules,France entière,La Croix Blanche Dijon France,dépassement des limites autorisées de pesticides,Présence de substance interdite,,dépassement des limites autorisées de pesticides,Ne plus consommer Ne plus utiliser le produit,,Remboursement,lundi 31 juillet 2023,,https://rappel.conso.gouv.fr/image/2efe35f5-9605-4c26-b8cb-84b2abf4a23a.jpg,https://rappel.conso.gouv.fr/document/9051dfdd-b65a-4b1e-bb2a-3c81ef382712/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/9641/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9641/Interne,0BCC130D-1F7A-4CBD-84B6-6131F08D82EB,2023-03-21
2023-03-0142,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,La Croix Blanche Dijon France,Formule Prostate,1422-1622-1922-2122-2422-2522-2822-2922-3022-3222-3722-4022,100 gélules,Du 01/04/2022 au 15/03/2023,Produit à conserver à température ambiante,,boite de 100 gélules,France entière,La Croix Blanche Dijon France,dépassement des limites autorisées de pesticides,Présence de substance interdite,,dépassement des limites autorisées de pesticides,Ne plus consommer Ne plus utiliser le produit,,Remboursement,lundi 31 juillet 2023,,https://rappel.conso.gouv.fr/image/808312cd-defb-4792-86f0-577a038bf5ef.jpg,https://rappel.conso.gouv.fr/document/b4950be0-bdcc-4076-8387-81e31462de90/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/9642/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9642/Interne,8D388265-A936-4565-9E06-D0F2B6C9DBB0,2023-03-21
2023-03-0143,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,La Croix Blanche Dijon France,Formule Digestion,2622-4022,,Du 01/06/2022 au 15/03/2023,Produit à conserver à température ambiante,,boite de 100 gélules,France entière,La Croix Blanche Dijon France,dépassement des limites autorisées de pesticides,Présence de substance interdite,,dépassement des limites autorisées de pesticides,Ne plus consommer Ne plus utiliser le produit,,Remboursement,lundi 31 juillet 2023,,https://rappel.conso.gouv.fr/image/348f6002-fb3f-4726-a7e4-d5de203b1b62.jpg,https://rappel.conso.gouv.fr/document/7217267c-4180-413d-9ae9-e6560149a69e/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/9643/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9643/Interne,97DB70F8-4B1E-461D-9586-44B399C795E3,2023-03-21
2023-03-0144,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,La Croix Blanche Dijon France,chrysanthellum americanum,423-5122-4422-3822-3122,,Du 01/04/2022 au 15/03/2023,Produit à conserver à température ambiante,,boite de 100 gélules,France entière,La Croix Blanche Dijon France,dépassement des limites autorisées de pesticides,Présence de substance interdite,,dépassement des limites autorisées de pesticides,Ne plus consommer Ne plus utiliser le produit,,Remboursement,lundi 31 juillet 2023,,https://rappel.conso.gouv.fr/image/2017a94a-4386-450f-8f54-2ddfca119274.jpg,https://rappel.conso.gouv.fr/document/a9fb5169-58f7-4fea-9413-32d92b96dd00/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/9644/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9644/Interne,3F98A2EE-3200-49D5-8F1A-FC96085C3118,2023-03-21
2023-03-0152,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,Jolivia,pilulier de 200 gélules,204 Date de durabilité minimale 31/01/2025,pilulier de 200 gélules,Du 28/03/2022 au 28/02/2023,Produit à conserver à température ambiante,,,France entière,www.jolivia.fr,détection d'un pesticide,Autres contaminants chimiques,,,Ne plus consommer Ne plus utiliser le produit Contacter le service consommateur Détruire le produit,699422227,Remboursement Echange,,,https://rappel.conso.gouv.fr/image/51d1c114-27b3-4f5b-962a-e390c7463a4d.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9653/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9653/Interne,B3AB0AF7-D8C6-41D8-A934-9E3F6D423E54,2023-03-21
2023-03-0153,1,Imposé par arrêté préfectoral,Alimentation,Aliments diététiques et nutrition,SEPHYTO,MILLEPERTUIS,3760293911717 PH21536 Date de durabilité minimale 30/11/2021 3760293911717 PH22035 Date de durabilité minimale 31/08/2024 3760293911717 PH22367 Date de durabilité minimale 31/08/2024 3760293911717 PH22368 Date de durabilité minimale 31/08/2024,PILULIER DE 200 GELULES,Du 01/11/2021 au 06/03/2023,Produit à conserver à température ambiante,,,France entière,PHARMACIES LAFAYETTE,Dépassement de la LMR en vigueur sur des pesticides.,Présence de substance interdite,,,Ne plus consommer Rapporter le produit au point de vente,659058074,Remboursement Echange,dimanche 7 mai 2023,,https://rappel.conso.gouv.fr/image/67098b61-d9e0-4022-a7ce-b40837bd7755.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9654/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9654/Interne,C9778515-4E69-408D-BCF0-58A2EAE38A22,2023-03-20
2023-03-0170,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",Disneyland Paris,Thés verts aromatisés Noël,208165020001 202870 Date de durabilité minimale 30/09/2023,Boîte métallique 100g,Du 01/10/2020 au 31/10/2021,Produit à conserver à température ambiante,,Boîte métallique Noël,Site de Disneyland Paris et Disney Village,Produit vendu dans 10 boutiques de Disneyland Paris,Dépassement des limites autorisées de pesticides,Dépassement des limites autorisées de pesticides,,Dépassement des limites autorisées de pesticides,Ne plus consommer Rapporter le produit au point de vente Contacter le service consommateur Détruire le produit,164746166,Remboursement,mercredi 17 mai 2023,,https://rappel.conso.gouv.fr/image/0b8067a2-75af-4e68-8120-9e80ea6f5dda.jpg,,https://rappel.conso.gouv.fr/document/0885372d-5eaf-43ad-8515-e65acb62dd34/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9671/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9671/Interne,8B744E96-92F5-4E18-A82B-B982E3FD7E8B,2023-03-21
2023-03-0171,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",George Cannon,MÉLANGE DES FAVORITES Thé vert aromatisé,202005 Date de durabilité minimale 19/12/2022  204410 Date de durabilité minimale 21/06/2023  2105761 Date de durabilité minimale 07/10/2023  2107650 Date de durabilité minimale 18/01/2024  2210580 Date de durabilité minimale 09/08/2024  2212345 Date de durabilité minimale 25/12/2024  2213658 Date de durabilité minimale 06/05/2025  203798 Date de durabilité minimale 12/05/2023,Produit vendu en vrac,Du 01/05/2020 au 15/03/2023,Produit à conserver à température ambiante,,,France entière,"Comptoir de thé, torréfacteur, salon de thés, épiceries fines",Dépassement des limites autorisées de pesticides dans l'un des thés verts mis en œuvre.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,mercredi 31 mai 2023,,https://rappel.conso.gouv.fr/image/b2fc9f1f-4f0a-468b-baaf-815d8c7f5fb8.jpg,https://rappel.conso.gouv.fr/document/ea38cbb2-5f97-4c63-a0a8-ae65bd3e667a/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/a4d9ba8c-28f4-4e73-8503-aaa2728b1a5f/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9672/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9672/Interne,1DDA486D-D0FC-4E31-957A-3B3FB6554F7B,2023-03-24
2023-03-0172,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",George Cannon,JARDIN CÉLESTE Thé vert aromatisé,201702 Date de durabilité minimale 21/11/2022  202242 Date de durabilité minimale 10/01/2023  202951 Date de durabilité minimale 10/03/2023  204149 Date de durabilité minimale 10/06/2023  2104819 Date de durabilité minimale 21/08/2023  2107144 Date de durabilité minimale 21/12/2023  2210352 Date de durabilité minimale 31/07/2024  2212113 Date de durabilité minimale 04/12/2024  2212655 Date de durabilité minimale 22/01/2025  2213877 Date de durabilité minimale 21/05/2025  2213676 Date de durabilité minimale 31/07/2024,Produit vendu en vrac,Du 01/05/2020 au 15/03/2023,Produit à conserver à température ambiante,,,France entière,"Comptoir de thé, torréfacteur, salon de thés, épiceries fines",Dépassement des limites autorisées de pesticides dans l'un des thés verts mis en œuvre.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,mercredi 31 mai 2023,,https://rappel.conso.gouv.fr/image/ed9070d2-9a65-4f96-aec1-a49abbb4ccfd.jpg,https://rappel.conso.gouv.fr/document/37c70c2f-0e96-46aa-b44a-304ae5d1a4d0/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/cb2e1caa-4f08-4ab7-86f6-85fc1224158f/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9673/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9673/Interne,2B6EBB80-9926-4867-BDA8-8637693E758A,2023-03-27
2023-03-0173,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",George Cannon,ROUGE BAISER Thé vert aromatisé,202352 Date de durabilité minimale 10/01/2023  2104623 Date de durabilité minimale 19/07/2023  2104912 Date de durabilité minimale 29/12/2022  2107778 Date de durabilité minimale 29/06/2023  2109650 Date de durabilité minimale 15/10/2023  2210191 Date de durabilité minimale 17/07/2024  2210929 Date de durabilité minimale 28/02/2023  2213404 Date de durabilité minimale 15/04/2025,Produit vendu en vrac,Du 01/05/2020 au 15/03/2023,Produit à conserver à température ambiante,,,France entière,"Comptoir de thé, torréfacteur, salon de thés, épiceries fines",Dépassement des limites autorisées des pesticide dans l'un des thés verts mis en œuvre.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,mercredi 31 mai 2023,,https://rappel.conso.gouv.fr/image/65226fad-72cb-413d-9d6d-6e02134f4350.jpg,https://rappel.conso.gouv.fr/document/9d1d3b2e-aaa8-4483-86cb-93bdae791561/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/9382cc34-5300-415f-bf78-0299de774e51/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9674/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9674/Interne,48BFAC19-9B53-43A3-A947-75E056FA9802,2023-03-27
2023-03-0174,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",George Cannon,SATURNE LES FLEURS D'AUTOMNE Thé vert aromatisé,202004 Date de durabilité minimale 19/12/2022  203071 Date de durabilité minimale 04/04/2023  203844 Date de durabilité minimale 10/05/2023  2105276 Date de durabilité minimale 25/08/2023  2107558 Date de durabilité minimale 12/01/2024  2108838 Date de durabilité minimale 15/04/2024  2109494 Date de durabilité minimale 24/05/2024  2210735 Date de durabilité minimale 22/08/2024  2214234 Date de durabilité minimale 25/06/2025,Produit vendu en vrac,Du 01/05/2020 au 15/03/2023,Produit à conserver à température ambiante,,,France entière,"Comptoir de thé, torréfacteur, salon de thés, épicerie fine",Dépassement des limites autorisées des pesticide dans l'un des thés verts mis en œuvre.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,mercredi 31 mai 2023,,https://rappel.conso.gouv.fr/image/0f29d4d0-e083-4d4a-bc6a-8035818c22e4.jpg,https://rappel.conso.gouv.fr/document/a2c6d1ff-f662-4b1e-b5a2-6041624719a7/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/65df07ac-7906-40fc-8c77-405aa86d8e8d/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9675/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9675/Interne,4E4BDF20-F8BF-4145-B419-B5847845A23C,2023-03-27
2023-03-0175,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",George Cannon,CUPIDON Thé vert aromatisé,202079 Date de durabilité minimale 10/01/2023  203081 Date de durabilité minimale 05/04/2023  2105268 Date de durabilité minimale 24/08/2023  2107311 Date de durabilité minimale 29/12/2023  2107632 Date de durabilité minimale 18/01/2024  2210427 Date de durabilité minimale 02/08/2024  2210711 Date de durabilité minimale 20/08/2024  2212076 Date de durabilité minimale 29/11/2024  2213869 Date de durabilité minimale 21/05/2025  203833 Date de durabilité minimale 10/06/2023,Produit vendu en vrac,Du 01/05/2020 au 15/03/2023,Produit à conserver à température ambiante,,,France entière,"Comptoir de thé, torréfacteur, salon de thés, Epicerie fine",Dépassement des limites autorisées de pesticides dans l'un des thés verts mis en œuvre.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,mercredi 31 mai 2023,,https://rappel.conso.gouv.fr/image/e9fbf9ff-4d18-4b2d-a940-2f4cae183358.jpg,https://rappel.conso.gouv.fr/document/2ba77308-5fb8-4dd5-bad4-7586d489cf98/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/695116b4-877a-4c06-8a1a-33cde49d5893/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9676/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9676/Interne,5A6DF3CC-2A79-4A84-923E-9D66372AB540,2023-03-24
2023-03-0176,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",George Cannon,AU PIED DU SAPIN Thé vert aromatisé - VRAC,203121 Date de durabilité minimale 10/04/2023  2107517 Date de durabilité minimale 09/01/2024  2211693 Date de durabilité minimale 29/10/2024,Produit vendu en vrac,Du 01/05/2020 au 15/03/2023,Produit à conserver à température ambiante,,,France entière,"Comptoir de thé, torréfacteur, salons de thés, épiceries fines",Dépassement des limites autorisées de pesticides dans l'un des thés verts mis en œuvre.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Rapporter le produit au point de vente Détruire le produit,,Remboursement,mercredi 31 mai 2023,,https://rappel.conso.gouv.fr/image/43675f0c-da80-48a5-9bf8-7fa646631c0f.jpg,https://rappel.conso.gouv.fr/document/d8d82cd0-f7c6-41b1-accd-7a9fced25a2a/Interne/ListeDesProduits,https://rappel.conso.gouv.fr/document/1e0da007-ca9f-413d-ac22-296c8ee2fc45/Interne/ListeDesDistributeurs,https://rappel.conso.gouv.fr/affichettePDF/9677/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9677/Interne,AAA3879C-7237-40BD-A6E6-6EF0AE05E9CD,2023-03-27
2023-03-0177,1,Volontaire (sans arrêté préfectoral),Alimentation,"Cacao, café et thé",George Cannon - Musée de la Vie Romantique,LE POUVOIR DES FLEURS Thé vert aromatisé Boîte 100g Musée de la Vie Romantique,9990000053322 2212207 Date de durabilité minimale 31/12/2024 9990000053322 2212726 Date de durabilité minimale 27/01/2025,Boite de 100g,Jusqu'au 15/03/2023,Produit à conserver à température ambiante,,,Musée de la vie romantique - Paris,Musée de la vie romantique,Dépassement des limites autorisées de pesticides dans l'un des thés verts mis en œuvre.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Contacter le point de vente Détruire le produit,,Remboursement,mercredi 31 mai 2023,,https://rappel.conso.gouv.fr/image/870170fb-bf0a-4bf3-b048-31cbb9ec683e.jpg,https://rappel.conso.gouv.fr/document/75a16e27-62b3-4367-9a29-ecf281c4b56b/Interne/ListeDesProduits,,https://rappel.conso.gouv.fr/affichettePDF/9678/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9678/Interne,0511B478-CA91-41D2-8FD6-43E3E6EBB13D,2023-03-24
2023-03-0180,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,BELLE & BIO,CHARDON MARIE BIO 120 gélules,3700446495695 B211408 Date de consommation recommandée 31/01/2025 3700446495695 B211898 Date de consommation recommandée 30/04/2025 3700446495695 B211898 Date de consommation recommandée 31/05/2025 3700446495695 003134-01 Date de consommation recommandée 31/08/2025,Pilulier de 120 gélules,,Produit à conserver à température ambiante,,,France entière,Site internet de BELLE & BIO : https://www.belleetbio.com/,Présence d'un pesticide à un taux non conforme à la règlementation en vigueur.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur,563643403,Echange,,Contacter notre service clients au 05.63.64.34.03 pour procéder à l'échange de produit.,https://rappel.conso.gouv.fr/image/1318aa4c-0704-44a1-a477-fc84e0e1946c.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9681/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9681/Interne,54D69BF6-6B84-4F01-80D8-D9013027AC76,2023-03-21
2023-03-0181,1,Volontaire (sans arrêté préfectoral),Alimentation,Aliments diététiques et nutrition,BELLE & BIO,MILLEPERTUIS BIO 120 gélules,3700446496081 007828-01 Date de consommation recommandée 31/01/2026 3700446496081 003858-01 Date de consommation recommandée 30/09/2025,Pilulier de 120 gélules,,Produit à conserver à température ambiante,,,France entière,Site internet de BELLE & BIO : https://www.belleetbio.com/,Présence d'un pesticide à un taux non conforme à la règlementation en vigueur.,Dépassement des limites autorisées de pesticides,,,Ne plus consommer Ne plus utiliser le produit Rapporter le produit au point de vente Contacter le service consommateur,563643403,Echange,,Contacter notre service clients au 05.63.64.34.03 pour procéder à l'échange de produit.,https://rappel.conso.gouv.fr/image/ad7295f1-9c93-4732-9e99-e60f3945f060.jpg,,,https://rappel.conso.gouv.fr/affichettePDF/9682/Interne,https://rappel.conso.gouv.fr/fiche-rappel/9682/Interne,26557E67-5862-493E-B5C7-5CB03EA4180F,2023-03-21
